OID_,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,Disclaimer,Disclaim2,Disclaim3,Provenance,Licence,WARNINGS,Created,LastUpdate,Version,Revisions
0,Hafren Dyfrdwy,8,Hafren Dyfrdwy,HDD,regional water and sewerage company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
1,Severn Trent,15,Severn Trent Water,SVE,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
2,Wessex,35,Wessex Water,WSX,regional water and sewerage company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
3,Medway,27,Southern Water,SRN,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
4,Bristol,6,South West Water,SWB,regional water only company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4,revised v1_3 - Bristol Water was bought by SWB on 3 June 2021
5,Guildford,31,Thames Water,TMS,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
6,Suffolk,11,Northumbrian Water,NES,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
7,Tendring Hundred (Brett),2,Affinity Water,AFW,regional water only company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
8,Kent & Sussex,16,South East Water,SEW,regional water only company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
9,Folkestone (Dour),1,Affinity Water,AFW,regional water only company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
10,Hampshire,24,Southern Water,SRN,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
11,Cambridge,18,South Staffordshire Water,SSC,regional water only company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
12,Isle of Wight,26,Southern Water,SRN,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
13,Hastings,25,Southern Water,SRN,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
14,Southern,17,South East Water,SEW,regional water only company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
15,Yorkshire,36,Yorkshire Water,YKY,regional water and sewerage company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
16,Portsmouth,13,Portsmouth Water,PRT,regional water only company,Whole water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
17,Three Valleys,3,Affinity Water,AFW,regional water only company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
18,Fawley,21,South West Water,SWB,regional water and sewerage company,Part of water supply area,This shapefile is designed for geospatial analysis only. The definitive legal record of areas remains the maps and other information set out in the appointments of companies as water and/or sewerage undertakers and subsequent area variations.,This shapefile does not include information on any premises or installations that are located outside the boundary but included in the area or that are located inside the boundary but excluded from the area.,For the purposes of geospatial analysis and visual display the Mean High Water Line has been used for any seaward boundary (although the low water mark is more likely to be the actual boundary) and islands that are part of the area may have been omitted.,This shapefile has been digitised from the legal records by the Water Services Regulation Authority (Ofwat) with support from Ordnance Survey.,This shapefile is published under the Open Government Licence., ,04/08/2020 00:00:00,25/05/2022 00:00:00,1_4, 
